"","lm_age","sex","risk_class","crossed","Total","N","riskgr_pct","riskgr_pct_total","cross_pct"
"100",65,"male","Medium_low",TRUE,1,99065,1.0094382476152e-05,1.0094382476152e-05,1
"101",70,"female","Very_high",TRUE,66293,92147,0.719426568417854,0.719426568417854,1
"102",70,"female","High",TRUE,23754,92147,0.257783758559693,0.257783758559693,1
"103",70,"female","Medium_high",TRUE,2099,92147,0.0227788207972045,0.0227788207972045,1
"104",70,"female","Medium_low",TRUE,1,92147,1.08522252487873e-05,1.08522252487873e-05,1
"105",70,"male","Very_high",TRUE,66428,66461,0.999503468199395,0.999503468199395,1
"106",70,"male","High",TRUE,33,66461,0.000496531800604866,0.000496531800604866,1
"107",75,"female","Very_high",TRUE,68361,68544,0.997330182072829,0.997330182072829,1
"108",75,"female","High",TRUE,183,68544,0.00266981792717087,0.00266981792717087,1
"109",75,"male","Very_high",TRUE,45069,45069,1,1,1
"110",80,"female","Very_high",TRUE,54653,54653,1,1,1
"111",80,"male","Very_high",TRUE,33662,33662,1,1,1
